XLC,^IXIC,^TNX,^VIX,date
70.4512939453125,13068.830078125,1.5199999809265137,22.559999465942383,2021-03-10
71.78346252441406,13398.669921875,1.5269999504089355,21.90999984741211,2021-03-11
71.58219909667969,13319.8603515625,1.6349999904632568,20.690000534057617,2021-03-12
72.09015655517578,13459.7099609375,1.6069999933242798,20.030000686645508,2021-03-15
72.84727478027344,13471.5703125,1.621000051498413,19.790000915527344,2021-03-16
72.85684204101562,13525.2001953125,1.6410000324249268,19.229999542236328,2021-03-17
71.64928436279297,13116.169921875,1.7300000190734863,21.579999923706055,2021-03-18
72.27224731445312,13215.240234375,1.7319999933242798,20.950000762939453,2021-03-19
72.87997436523438,13377.5400390625,1.684000015258789,18.8799991607666,2021-03-22
72.34231567382812,13227.7001953125,1.6380000114440918,20.299999237060547,2021-03-23
70.51815795898438,12961.8896484375,1.6139999628067017,21.200000762939453,2021-03-24
70.17254638671875,12977.6796875,1.6139999628067017,19.809999465942383,2021-03-25
69.40446472167969,13138.73046875,1.659999966621399,18.860000610351562,2021-03-26
70.11492156982422,13059.650390625,1.7209999561309814,20.739999771118164,2021-03-29
70.11492156982422,13045.3896484375,1.7259999513626099,19.610000610351562,2021-03-30
70.39337921142578,13246.8701171875,1.746000051498413,19.399999618530273,2021-03-31
71.60306549072266,13480.1103515625,1.6790000200271606,17.329999923706055,2021-04-01
73.11040496826172,13705.58984375,1.7200000286102295,17.90999984741211,2021-04-05
73.29280853271484,13698.3798828125,1.656000018119812,18.1200008392334,2021-04-06
73.8592529296875,13688.83984375,1.652999997138977,17.15999984741211,2021-04-07
73.86885833740234,13829.3095703125,1.6319999694824219,16.950000762939453,2021-04-08
73.84966278076172,13900.1904296875,1.6660000085830688,16.690000534057617,2021-04-09
73.55204010009766,13850.0,1.6749999523162842,16.90999984741211,2021-04-12
73.6480484008789,13996.099609375,1.6230000257492065,16.649999618530273,2021-04-13
72.88957214355469,13857.83984375,1.6380000114440918,16.989999771118164,2021-04-14
73.82084655761719,14038.759765625,1.5299999713897705,16.56999969482422,2021-04-15
73.77286529541016,14052.33984375,1.5729999542236328,16.25,2021-04-16
73.36001586914062,13914.76953125,1.6009999513626099,17.290000915527344,2021-04-19
72.96639251708984,13786.26953125,1.562000036239624,18.68000030517578,2021-04-20
73.09119415283203,13950.2197265625,1.5640000104904175,17.5,2021-04-21
72.55354309082031,13818.41015625,1.5540000200271606,18.709999084472656,2021-04-22
73.39842224121094,14016.8095703125,1.5670000314712524,17.329999923706055,2021-04-23
73.55204010009766,14138.7802734375,1.5700000524520874,17.639999389648438,2021-04-26
73.25440216064453,14090.2197265625,1.621999979019165,17.559999465942383,2021-04-27
73.92646026611328,14051.0302734375,1.6200000047683716,17.280000686645508,2021-04-28
75.97144317626953,14082.5498046875,1.6399999856948853,17.610000610351562,2021-04-29
74.93456268310547,13962.6796875,1.63100004196167,18.610000610351562,2021-04-30
74.54092407226562,13895.1201171875,1.6069999933242798,18.309999465942383,2021-05-03
73.86885833740234,13633.5,1.5920000076293945,19.479999542236328,2021-05-04
73.72486114501953,13582.419921875,1.5839999914169312,19.149999618530273,2021-05-05
74.58893585205078,13632.83984375,1.5609999895095825,18.389999389648438,2021-05-06
75.15536499023438,13752.240234375,1.5770000219345093,16.690000534057617,2021-05-07
73.71525573730469,13401.8603515625,1.6019999980926514,19.65999984741211,2021-05-10
73.5040283203125,13389.4296875,1.6239999532699585,21.84000015258789,2021-05-11
72.06390380859375,13031.6796875,1.6950000524520874,27.59000015258789,2021-05-12
72.58235931396484,13124.990234375,1.6679999828338623,23.1299991607666,2021-05-13
74.01286315917969,13429.98046875,1.6349999904632568,18.809999465942383,2021-05-14
73.42723083496094,13379.0498046875,1.6399999856948853,19.719999313354492,2021-05-17
72.67835998535156,13303.6396484375,1.6419999599456787,21.34000015258789,2021-05-18
72.79357147216797,13299.740234375,1.6829999685287476,22.18000030517578,2021-05-19
74.04167175292969,13535.740234375,1.6339999437332153,20.670000076293945,2021-05-20
73.79205322265625,13470.990234375,1.6319999694824219,20.149999618530273,2021-05-21
75.13618469238281,13661.169921875,1.6080000400543213,18.399999618530273,2021-05-24
75.11695861816406,13657.169921875,1.5640000104904175,18.84000015258789,2021-05-25
75.60661315917969,13738.0,1.5740000009536743,17.360000610351562,2021-05-26
75.89464569091797,13736.2802734375,1.6100000143051147,16.739999771118164,2021-05-27
75.64501190185547,13748.740234375,1.5809999704360962,16.760000228881836,2021-05-28
75.69300842285156,13736.48046875,1.6150000095367432,17.899999618530273,2021-06-01
75.46259307861328,13756.330078125,1.590999960899353,17.479999542236328,2021-06-02
74.95377349853516,13614.509765625,1.625,18.040000915527344,2021-06-03
76.02903747558594,13814.490234375,1.559999942779541,16.420000076293945,2021-06-04
76.42269134521484,13881.7197265625,1.569000005722046,16.420000076293945,2021-06-07
76.20186614990234,13924.91015625,1.527999997138977,17.06999969482422,2021-06-08
76.12505340576172,13911.75,1.4889999628067017,17.889999389648438,2021-06-09
76.53790283203125,14020.330078125,1.4589999914169312,16.100000381469727,2021-06-10
76.62430572509766,14069.419921875,1.4620000123977661,15.649999618530273,2021-06-11
77.13314056396484,14174.1396484375,1.5010000467300415,16.389999389648438,2021-06-14
76.69151306152344,14072.8603515625,1.4989999532699585,17.020000457763672,2021-06-15
76.01943969726562,14039.6796875,1.569000005722046,18.149999618530273,2021-06-16
76.33625793457031,14161.349609375,1.5110000371932983,17.75,2021-06-17
75.44341278076172,14030.3798828125,1.4500000476837158,20.700000762939453,2021-06-18
