date,headline,neg,neu,pos,compound
2025-06-23,"Roblox Corporation (NYSE:RBLX) CEO David Baszucki Sells 454,963 Shares - MarketBeat",0.0,0.804,0.196,0.296
2025-06-23,Roblox stock hits 52-week high at 103.62 USD - Investing.com,0.0,1.0,0.0,0.0
2025-06-04,Toronto Dominion Bank Boosts Stake in Roblox Co. (NYSE:RBLX) - MarketBeat,0.0,0.796,0.204,0.3182
2025-06-23,RBLX Stock: Roblox is Growing its Garden - CMC Markets,0.0,0.825,0.175,0.1779
2025-06-18,"Exchange Traded Concepts LLC Sells 53,925 Shares of Roblox Corporation (NYSE:RBLX) - MarketBeat",0.0,0.833,0.167,0.296
2025-06-12,"Roblox Co. (NYSE:RBLX) CFO Sells $4,577,500.00 in Stock - MarketBeat",0.0,1.0,0.0,0.0
2025-06-18,Roblox director Carvalho sells $6.49 million in RBLX stock By Investing.com - Investing.com South Africa,0.0,1.0,0.0,0.0
2025-06-05,"Roblox (RBLX) Shares Jump Over 2% on NYSE, Continuing Strong Growth Momentum - Daily Chhattisgarh News",0.0,0.597,0.403,0.7964
2025-06-18,Roblox Corporation (NYSE:RBLX) Shares Sold by Kennicott Capital Management LLC - MarketBeat,0.0,0.82,0.18,0.296
2025-06-24,"15,271 Shares in Roblox Corporation (NYSE:RBLX) Bought by Kentucky Retirement Systems Insurance Trust Fund - MarketBeat",0.0,0.703,0.297,0.6705
2025-06-25,Should You Buy Roblox Stock After Its Surge to $100? - MSN,0.0,1.0,0.0,0.0
2025-06-24,"Kentucky Retirement Systems Purchases Shares of 35,855 Roblox Corporation (NYSE:RBLX) - MarketBeat",0.0,0.82,0.18,0.296
2025-06-09,"Roblox Stock Dips 2.78%, Pausing a Meteoric Rally That Has Seen It Gain 164% in a Year - Daily Chhattisgarh News",0.0,0.833,0.167,0.5267
2025-06-19,"4,812 Shares in Roblox Corporation (NYSE:RBLX) Bought by Azzad Asset Management Inc. ADV - MarketBeat",0.0,0.719,0.281,0.5719
2025-06-17,Krilogy Financial LLC Lowers Position in Roblox Corporation (NYSE:RBLX) - MarketBeat,0.143,0.857,0.0,-0.128
2025-06-10,Roblox Appoints Naveen Chopra as New CFO - TipRanks,0.0,1.0,0.0,0.0
2025-06-04,2 Buy and Hold Growth Stocks Poised to Reach $100 and Beyond - Investing.com,0.0,0.612,0.388,0.5719
2025-06-06,"Roblox (RBLX) Stock Climbs Over 1.6% in Mid-Session Trading, Continues Impressive Growth Trajectory - Daily Chhattisgarh News",0.0,0.704,0.296,0.7096
2025-06-18,"NorthCrest Asset Manangement LLC Invests $710,000 in Roblox Corporation (NYSE:RBLX) - MarketBeat",0.0,0.8,0.2,0.3612
2025-06-16,"Assenagon Asset Management S.A. Buys 595,895 Shares of Roblox Co. (NYSE:RBLX) - MarketBeat",0.0,0.68,0.32,0.5719
2025-06-21,"Roblox Stock: Buy, Hold, Sell? - MSN",0.0,1.0,0.0,0.0
2025-06-07,Rhumbline Advisers Increases Stock Holdings in Roblox Co. (NYSE:RBLX) - MarketBeat,0.0,1.0,0.0,0.0
2025-06-23,Roblox stock hits 52-week high at 103.62 USD By Investing.com - Investing.com Nigeria,0.0,1.0,0.0,0.0
2025-06-03,JPMorgan Lifts Price Target for Roblox (RBLX) Amid Sector Update - GuruFocus,0.0,1.0,0.0,0.0
