date,roblox_trend_web,roblox_trend_news
2025-05-09,73,42
2025-05-10,98,52
2025-05-11,95,67
2025-05-12,65,28
2025-05-13,67,49
2025-05-14,66,51
2025-05-15,67,49
2025-05-16,77,39
2025-05-17,100,77
2025-05-18,80,71
2025-05-19,64,51
2025-05-20,59,38
2025-05-21,62,39
2025-05-22,63,36
2025-05-23,71,51
2025-05-24,93,60
2025-05-25,80,42
2025-05-26,71,47
2025-05-27,68,48
2025-05-28,69,52
2025-05-29,74,38
2025-05-30,77,40
2025-05-31,94,48
2025-06-01,88,46
2025-06-02,69,31
2025-06-03,73,49
2025-06-04,69,32
2025-06-05,71,49
2025-06-06,77,63
2025-06-07,100,80
2025-06-08,93,55
2025-06-09,77,40
2025-06-10,72,33
2025-06-11,71,46
2025-06-12,75,26
2025-06-13,83,41
2025-06-14,98,58
2025-06-15,96,52
2025-06-16,78,30
2025-06-17,78,35
2025-06-18,75,40
2025-06-19,76,39
2025-06-20,79,34
2025-06-21,99,55
2025-06-22,95,50
2025-06-23,72,37
2025-06-24,77,47
2025-06-25,76,42
2025-06-26,81,27
2025-06-27,100,100
2025-06-28,100,61
2025-06-29,92,84
2025-06-30,80,38
2025-07-01,79,36
2025-07-02,78,65
2025-07-03,80,45
2025-07-04,83,51
2025-07-05,98,56
2025-07-06,97,64
2025-07-07,79,43
2025-07-08,83,46
2025-07-09,83,42
2025-07-10,83,48
2025-07-11,86,54
2025-07-12,98,70
2025-07-13,95,56
2025-07-14,77,50
2025-07-15,84,50
2025-07-16,77,55
