date,popular_games_total
2025-05-06,79758549.0
2025-05-07,79997871.0
2025-05-08,81165810.0
2025-05-09,89288600.0
2025-05-10,116785967.0
2025-05-11,114392357.0
2025-05-12,79589010.0
2025-05-13,75347467.0
2025-05-14,75645524.0
2025-05-15,75085390.0
2025-05-16,77687171.0
2025-05-17,108026313.0
2025-05-18,108439485.0
2025-05-19,75299253.0
